MATNR,MAKTX,MEINS,WERKS,MAP,LABST
GAIL001876,ISMT - PIPE - SEAMLESS - 300NB - SCH20 - SS316 - 100.0 BAR - ISM-SP00923,PC,PATA,3263.52,781
GAIL001864,JINDAL - PIPE - SEAMLESS - 80NB - SCH40 - CS-A53 - 60.0 BAR,PC,PATA,1740.39,599
GAIL002190,MERCK - CHEMICAL - NITRIC ACID - GR GRADE - 70 PCT,PC,VIJAIPUR,2610.52,775
GAIL001667,UNBRAKO - बोल्ट - HEX - M30X3.5 - 50MM LG - GRADE 12.9 - SS304 - PLAIN - UNB-HB01095,PC,PATA,70.84,405
GAIL000694,MSL - PIPE - SEAMLESS - 80NB - XS - SS304 - 20.0 BAR - MSL-SP00203,PC,VIJAIPUR,1788.78,547
GAIL000398,GARLOCK - GASKET - SPIRAL WOUND - 100NB - CLASS 300 - SS304-PTFE - 4.5MM THK - 550 C - GAR-SW01198,PC,VIJAIPUR,890.15,427
GAIL000524,"GARLOCK - GASKET - SPIRAL WOUND - 32NB - CLASS 150 - SS316-GRAPHITE - 3.0MM THK - 550 C - GAR-SW00899, BOX OF 25",BOX,VIJAIPUR,5090.75,392
GAIL002305,KEI - CABLE - POWER - 4C X 4.0 SQMM - ALUMINIUM - XLPE - 650V - 90 C - KEI-PW01248,PC,PATA,303.96,120
GAIL001018,HONEYWELL - HELMET - SAFETY - CLASS C - ABS - PINLOCK - 4-POINT - VENTED - PEAK - EN397 - YELLOW - HON-HL00278,PC,PATA,457.16,260
GAIL001041,FAG - BEARING - BALL - 17MM BORE - 40MM OD - 12MM W - OPEN - 560 KG - 120 C - 6203/H120 - GTIN 8900030647492,PC,VIJAIPUR,456.91,470
GAIL000186,TIMKEN - बेयरिंग - BALL - 95MM BORE - 200MM OD - 45MM W - ZZ - 3040 KG - 150 C,PC,VIJAIPUR,3186.82,609
GAIL001000,TIMKEN - BEARING - BALL - 6219 - POEN - 3040 KG - 100 C,PC,PATA,3011.31,477
GAIL001794,KEI - CABLE - POWER - 5C X 1.5 SQMM - ALUMINIUM - XLPE - 3300V - 70 C - KEI-PW00719 - 8902707692286,PC,VIJAIPUR,117.14,703
GAIL001507,CHAMPION - GASKET - SPIRAL WOUND - 40NB - CLASS 150 - CAF - 7.5MM THK - 450 C - CHA-SW00844,PC,PATA,394.45,184
GAIL000607,FISHER - CHEMICAL - ETHANOL - TECH GRADE - 40 PCT - FIS-CH00371,PC,PATA,875.10,632
GAIL002735,KEI - CABLE - POWER - 4C X 120.0 SQMM - ALUMINIUM - XLPE - 11000V - 90 C - KEI-PW02073 - EAN 8908801735829,PC,VIJAIPUR,6878.57,141
GAIL001054,NTN - BEARING - BALL - 6009 - 2RS - 2160 KG - 100 C,PC,VIJAIPUR,2332.73,595
GAIL001889,AUDCO - VALVE - GATE - 20NB - CLASS 150 - SS304 - THREADED - 19.6 BAR - 150 C - AUD-GV00449,PC,VIJAIPUR,4101.45,765
GAIL000453,VENUS - HELMET - SAFETY - CLASS A - ABS - PINLOCK - 2-POINT - NON-VENTED - FULL BRIM - EN397 - GREEN - VEN-HL00132,PC,VIJAIPUR,586.66,294
GAIL002678,APL - BOLT - HEX - M10X1.5 - 200MM LG - GRADE 12.9 - SS304 - HDG - APL-HB01146,PC,VIJAIPUR,72.45,335
GAIL002095,APL - BOLT - HEX - M20X2.5 - 80MM LG - GRADE 8.8 - SS316 - HDG - APL-HB00533 - 8901602506353,PC,PATA,98.94,727
GAIL001616,FISHER - CHEMICAL - OXALIC ACID - LR GRADE - 40 PCT - FIS-CH00310,PC,VIJAIPUR,494.57,760
GAIL000172,HVELLS - CABLE - POWER - 4C X 120.0 SQMM - COPPER - XLPE - 1100V - 90 C - HAV-PW01488,PC,VIJAIPUR,9074.13,599
GAIL000526,ISMT - पाइप - SEAMLESS - 56NB - XS - SS304 - 20.0 BAR - ISM-SP00220,PC,VIJAIPUR,1338.23,597
GAIL000980,HAVELLS - CABLE - POWER - 3C X 70.0 SQMM - COPPER - XLPE - 1100V - 70 C - HAV-PW00437,PC,VIJAIPUR,3251.30,301
GAIL002925,SKF - BEARING - BALL - 6216 - ZZ - 2560 KG - 120 C - 6216-2Z/H120 - EAN 8907036935417,PC,PATA,2414.71,28
